Project Description,Location,Contractor,Cost,Completion Date
"Construction of Tangyan River Control Project, Barangay Nito-an, Guimbal, Iloilo",ILOILO,ABRIGHT BUILDERS CORPORATION,"29,091,213.14",12/19/2023
"Construction of Pacol Flood Control, Brgy. Pacol, Naga City, Camarines Sur",CAMARINES SUR,PHILWORKS CONSTRUCTION & SUPPLY,"48,464,895.49",12/19/2023
"Construction of Quinale A River Flood Mitigation Structure (Polangui and Libon Section), Polangui and Libon, Albay",ALBAY,MAKAPA CORPORATION,"125,336,434.99",12/19/2023
"Construction of Revetment along Taguilid River , Kawit Section, Kawit, Cavite",CAVITE,ALMAKAR BUILDERS & METAL WORKS,"41,125,223.87",12/19/2023
"Rehabilitation of Slope Protection along Upper Dalan Bapor, Phase II, at Sasmuan, Pampanga",PAMPANGA,FERDSTAR BUILDERS INC.,"96,494,018.96",12/19/2023
"Construction of Flood Control Structure at Barangay San Roque, Baliuag, Bulacan (K001+062 to K001+362)",BULACAN,WAWAO BUILDERS,"72,372,354.56",12/19/2023
"Construction of River Control Project along Guiguinto River, Barangay Pritil, Sta. 02+470 - Sta. 02+830, Guiguinto, Bulacan",BULACAN,ORANI CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY:ORANI BUILDERS & SUPPLY),"96,497,659.50",12/19/2023
"Construction of Flood Control System along Cagayan River, Brgy. Alibago, Enrile, Cagayan, Sta. 0+370-Sta. 0+770 (Upstream)",CAGAYAN,"M.E. SICAT CONSTRUCTION, INC. (FORMERLY M.E. SICAT","92,157,500.00",12/19/2023
"Construction of Flood Mitigation Structure along Nayom River, Sta. 005+775.6 - Sta. 006+285.2, Barangay Maya, Infanta, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,"77,200,000.00",12/19/2023
"Construction of Brgy. Ambugat Flood Control, Burgos, Ilocos Sur",ILOCOS SUR,CZMAC CONSTRUCTION SERVICES,"9,887,142.35",12/19/2023
"Construction of Flood Mitigation Structure along Marikina River, Barangay Bagong Silangan, Quezon City",QUEZON CITY,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY) / PILASTRO BUILDERS & DEVELOPMENT INC.","96,499,629.50",12/19/2023
"Construction of Drainage Outfall, Second District, Marikina City",MARIKINA CITY,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","46,525,913.61",12/19/2023
"Construction of Flood Control Structure, Zapote River, Las Piñas City",LAS PIÑAS CITY,"E. F. CHUA CONSTRUCTION, INC.","48,993,363.57",12/19/2023
"Construction of Drainage System (Box Culvert), Purok 6, Barangay Bunao, Tupi, South Cotabato",SOUTH COTABATO,ROCKSTONE CONSTRUCTION SERVICES & SUPPLY,"4,948,882.27",12/18/2023
"Rehabilitation of Drainage System, Barangay Benoni, Mahinog, Camiguin",CAMIGUIN,CLC CONSTRUCTION SERVICES AND SUPPLY,"6,322,322.11",12/18/2023
"Construction of Cabayongan Flood Control Structure and Drainage system, Cabayongan River Basin, Jaro, Leyte",LEYTE,"FAIRCHILD BUILDERS & DEVELOPERS, INC.","54,655,168.88",12/18/2023
"Repair/ Rehabilitation/ Reconstruction of Valencia River Flood Control System (Downstream), Alegria, Cebu, Sta. 0+000.00 to Sta. 0+226.00",CEBU,"ZLREJ TRADING AND CONSTRUCTION CORPORATION / GICAR CONSTRUCTION, INC.","88,641,056.04",12/18/2023
"Repair/ Rehabilitation/ Reconstruction of Damaged Saliring River Flood Control System (Downstream), Malabuyoc, Cebu, Sta. 0+045 to Sta. 0+102",CEBU,QM BUILDERS,"44,812,058.15",12/18/2023
"Construction of Riverbank Protection at Barangay Poblacion, Ginatilan (Upstream Right Side), Cebu",CEBU,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"96,495,338.63",12/18/2023
"Construction of River Retaining Wall at Barangay Kanguha (Right Side), Dumanjug, Cebu",CEBU,QM BUILDERS,"96,496,912.40",12/18/2023
"Construction of Riverbank Protection along Talaba River (Sitio Upper Talayong - Sitio Cansibog), Barangay Tupas, Ronda, Cebu",CEBU,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"96,497,256.46",12/18/2023
"Construction of Dike Strucures along Talaba River Sitio Bagonbon (Left Side), Brgy. Liboo, Ronda, Cebu",CEBU,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"96,496,818.20",12/18/2023
"Construction of Riverbank Protection along Talaba River (Sitio Cansibog - Sitio Upper Talayong), Barangay Tupas, Ronda, Cebu",CEBU,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"96,207,226.80",12/18/2023
"Construction of Riverbank Protection along Talaba River, Barangay Tupas, Ronda, Cebu",CEBU,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"96,497,208.87",12/18/2023
"Construction of Riverbank Protection at Bala River (Upstream Left Side), Moalboal, Cebu",CEBU,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"96,302,869.75",12/18/2023
"Construction of Riverbank Protection at Bala River (Downstream Right Side), Moalboal, Cebu",CEBU,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"96,302,742.83",12/18/2023
"Construction of Revetment Wall along Matutinao River (Upstream), Badian, Cebu",CEBU,WTG CONSTRUCTION & DEVELOPMENT CORPORATION,"96,015,713.20",12/18/2023
"Construction of Flood Wall Structures, Barangay Sorsogon - Barangay Salmeron (Right Side), Malabuyoc, Cebu",CEBU,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"96,014,076.83",12/18/2023
"Construction of Revetment Wall along Montañeza (Upstream), Malabuyoc, Cebu",CEBU,QM BUILDERS,"95,532,668.54",12/18/2023
"Construction of Flood Wall Structures along Sitio Dao, Barangay Mindanao, Malabuyoc, Cebu",CEBU,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"95,531,364.40",12/18/2023
"Construction of Flood Wall Structures, Barangay Sorsogon - Barangay Salmeron (Left Side), Malabuyoc, Cebu",CEBU,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"95,722,592.49",12/18/2023
"Rehabilitation of Manaba River Control (Upstream), Manaba, Garcia-Hernandez, Bohol",BOHOL,FUENTABUILT CONSTRUCTION CORP. / M.R. VARGAS CONSTRUCTION CORPORATION (FORMERLY: M.R. VARGAS CONSTRUCTION),"86,849,987.16",12/18/2023
"Construction of Andes Bridge River Control, Sta. 0 + 000 - Sta. 0 + 210, Sta. 0 + 000 - Sta. 0 + 090, Danao, Bohol",BOHOL,LEDA CONSTRUCTION INCORPORATED,"48,999,860.90",12/18/2023
"Construction of Binalbagan River Bank Slope Protection Upstream of Binalbagan Bridge along Bacolod South Road, Brgy. San Jose (Phase IV, Right Bank) Binalbagan, Negros Occidental",NEGROS OCCIDENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"99,000,000.00",12/18/2023
"Construction of Flood Control Structure along Malogo River, Abut. ''B'', Victorias City, Negros Occidental",NEGROS OCCIDENTAL,"REDSON CONSTRUCTION AND SUPPLIES, INC. (FORMERLY: REDSON CONSTRUCTION AND SUPPLIES)","86,847,719.00",12/18/2023
"Construction of Flood Control Structure along Cabalagnan Creek, Phase 2, Barangay Pahanocoy, Bacolod City",NEGROS OCCIDENTAL,A.C. RIVERO DEVELOPMENT CORPORATION,"49,000,000.00",12/18/2023
"Construction of Flood Mitigation Structure along Sagñay River, Sagñay, Camarines Sur",CAMARINES SUR,PARTIDO CONSTRUCTION & SUPPLY,"93,123,700.00",12/18/2023
"Rehabilitation/Improvement of Flood Mitigation Structure (Seawall) along San Miguel Bay, Sogod, Tinambac, Camarines Sur",CAMARINES SUR,KCS CONSTRUCTION & SUPPLY,"48,997,981.50",12/18/2023
"Construction of Flood Control along Bicol River, Brgy. Taban, Minalabac, Camarines Sur",CAMARINES SUR,C.T. LEONCIO CONSTRUCTION & TRADING,"48,965,337.45",12/18/2023
"Construction of Revetment along Libmanan River, Barangay Mambalite, Libmanan, Camarines Sur",CAMARINES SUR,G.C.I. CONSTRUCTION AND DEV'T. CORP.,"67,461,008.26",12/18/2023
"Construction of Daet River Flood Control Structure Phase II, Brgy. Bibirao and Brgy. Calasgasan, Daet, Camarines Norte",CAMARINES NORTE,EUS CONSTRUCTION,"77,199,972.90",12/18/2023
"Construction of Daet River Flood Control Structure with Road, Barangay Bibirao, Daet, Camarines Norte",CAMARINES NORTE,EUS CONSTRUCTION,"96,499,883.32",12/18/2023
"Construction/Upgrading/Rehabilitation of Flood Mitigation System at Barangay Busay to Barangay Cullat - Malobago River, Daraga, Albay",ALBAY,QDC CONSTRUCTION AND SUPPLY / 3RB CONSTRUCTION & SUPPLY,"72,373,340.99",12/18/2023
"Construction of Flood Control Structure (revetment wall) along Sibuguey River (upstream), Sta. 0+000.00 - Sta. 0+303.50, Barangay Sampoli A, Diplahan, Zamboanga Sibugay (Package 2)",ZAMBOANGA SIBUGAY,L.C. CONSTRUCTION CORPORATION (FOR: L.C. CONSTRUCTION),"48,944,628.48",12/18/2023
"Construction of Flood Control along Brgy. Katipunan, Ramon Magsaysay, Zamboanga del Sur",ZAMBOANGA DEL SUR,NRMM CONSTRUCTION AND DEV'T CORP.,"53,849,885.62",12/18/2023
"Construction of Flood Control Structure along Baroc River, Sta. Brigida, Mansalay, Oriental Mindoro",ORIENTAL MINDORO,LUMEL GLENN CONSTRUCTION,"82,022,349.10",12/18/2023
"Construction of Box Culvert with Approaches/Slope Protection, Sitio Kinapuin, Brgy. Calawis, Antipolo City",RIZAL,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,"48,999,991.59",12/18/2023
"Rehabilitation of Flood Control along Pandanan River, Sta. 009 + 141 - Sta. 009 + 306 RS, Package B, Lopez, Quezon",QUEZON,WAYCON BUILDERS AND CONSTRUCTION SUPPLY CORP. (FOR:WAYCON BUILDERS & CONSTRUCTION SUPPLY),"86,850,000.00",12/18/2023
"Rehabilitation of Bank Protection along Pasig-Potrero River, Manuali (Phase 1), Porac, Pampanga",PAMPANGA,11-16 CONSTRUCTION,"96,493,110.28",12/18/2023
"Construction of Drainage Structure, Diamond Crest, Barangay San Manuel, City of San Jose del Monte, Bulacan",BULACAN,FORTUNE RDC ENTERPRISES,"29,363,263.96",12/18/2023
"Construction of Flood Control Structure at Barangay San Roque, Baliuag, Bulacan (K001+600 to K001+900)",BULACAN,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),"72,373,832.51",12/18/2023
"Construction of Flood Control Structure along Bagbag Creek, Barangay Pritil, Guiguinto, Bulacan (K003+220 to K003+420)",BULACAN,M.S. RAMOS CONSTRUCTION INC. (FORMERLY: M.S. RAMOS,"72,374,703.78",12/18/2023
"Construction of Drainage Canal, Barangay 4, Baler, Aurora",AURORA,RADIANCE TRADERS & BUILDERS,"6,930,000.00",12/18/2023
"Construction of Flood Mitigation Structure along Ilagan River, Phase II, Brgy. Camunatan, City of Ilagan, Isabela",ISABELA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"96,180,049.98",12/18/2023
"Construction of Protection Works along Agno River, Brgy. Tampog, Bayambang Pangasinan",PANGASINAN,BET CONSTRUCTION & SUPPLY / JEUSMACK BUILDERS & CONSTRUCTION SUPPLY,"18,983,001.60",12/18/2023
"Construction of Slope Protection along Agno River, Barangay Iton, Bayambang, Pangasinan",PANGASINAN,BET CONSTRUCTION & SUPPLY / JEUSMACK BUILDERS & CONSTRUCTION SUPPLY,"9,491,560.96",12/18/2023
"Construction of Slope Protection along Agno River, Barangay San Gabriel 2nd, Bayambang, Pangasinan",PANGASINAN,BET CONSTRUCTION & SUPPLY / JEUSMACK BUILDERS & CONSTRUCTION SUPPLY,"9,491,153.30",12/18/2023
"Construction of Slope Protection along Agno River, Barangay Pugo, Bayambang, Pangasinan",PANGASINAN,BET CONSTRUCTION & SUPPLY / JEUSMACK BUILDERS & CONSTRUCTION SUPPLY,"9,491,249.25",12/18/2023
"Construction of Slope Protection Works along Agno River, Barangay Supo, San Carlos City, Pangasinan",PANGASINAN,HIGH ROCK CONSTRUCTION AND SUPPLIES INCORPORATED / JHI CONSTRUCTION & SUPPLY,"47,569,136.59",12/18/2023
"Construction of Currimao Seawall Protection, Currimao, Ilocos Norte",ILOCOS NORTE,MEGAPOLITAN BUILDERS AND CONSTRUCTION SUPPLY,"28,949,979.06",12/18/2023
"Construction of Flood Mitigation Structure along Marikina River, Barangay Batasan Hills, Quezon City",QUEZON CITY,"A.L. SALAZAR CONSTRUCTION, INC.","96,499,650.00",12/18/2023
"Rehabilitation of Flood Control Structure (Phase 2), Barangay Pasong Putik, Quezon City",QUEZON CITY,LE BRON CONSTRUCTION,"48,993,565.33",12/18/2023
"Rehabilitation of Flood Control Structure of Villa Verde Creek, Barangay Sta. Monica, Quezon City",QUEZON CITY,LE BRON CONSTRUCTION,"49,499,890.92",12/18/2023
"Construction of Retention Basin along Estero de San Miguel, Barangay 638, Manila",CITY OF MANILA,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J","38,542,194.45",12/18/2023
"Construction of Flood Control Wall along Veinte Reales Creek (Phase 3), Veinte Reales, Valenzuela City",VALENZUELA CITY,"TOUGHBUILT CONSTRUCTION & TRADING, INC.","72,374,958.24",12/18/2023
"Construction of Concrete Revetment along Mintal Creek, Sitio Basak Mintal Section, Sta. 0 + 000 - Sta. 0 + 750, Davao City",DAVAO DEL SUR,EDCL CONSTRUCTION AND SUPPLY,"71,928,738.54",12/17/2023
"Construction of Hijo River Flood Control Structure along Brgy. Madaum, Tagum City, Davao del Norte",DAVAO DEL NORTE,ROSBILL CONSTRUCTION AND SUPPLY / NICOMAG UTILITY PROJECTS CONSTRUCTION,"148,466,210.53",12/17/2023
"Construction of Flood Mitigation Structure, Sta. 0 + 000 - Sta. 0 + 156, Barangay Can-ayan, Malaybalay City, Bukidnon",BUKIDNON,RITCHE-NATHALIE BUILDERS & GENERAL MERCHANDISE,"96,499,999.30",12/17/2023
"Rehabilitation of Dike along O'Donnell River, Sta 8 + 264.80 to 8 + 564, Downstream of Bueno Bride 1, Left Bank, Capas Tarlac",TARLAC,11-16 CONSTRUCTION,"72,344,902.59",12/17/2023
"Construction of Flood Control River Wall along Meycauayan River Coloong-Wawang Pulo (Phase 2), Valenzuela City",VALENZUELA CITY,J. SIMEON CONSTRUCTION,"44,100,000.00",12/17/2023
"Construction of Digos River Flood Control Project, Barangay Ruparan (Section 4), City of Digos, Davao del Sur",DAVAO DEL SUR,MAC BUILDERS CORP. (FORMERLY: MAC BUILDERS DEVELOPMENT CORPORATION),"173,700,000.00",12/16/2023
"Construction of Revetment along Matina River protecting Matina Pangi Road, Sta. 7+000 to Sta. 7+300 Right Bank, Davao City",DAVAO DEL SUR,"AGONG BUILDERS AND CONSTRUCTION SUPPLY, INC. / GENESIS88 CONSTRUCTION INC.","99,000,000.00",12/16/2023
"Rehabilitation of Tuganay-Libuganon and Mag Creek Protection Dikes, Tuganay, Davao del Norte",DAVAO DEL NORTE,AKN CONSTRUCTION CORPORATION,"86,850,000.00",12/16/2023
"Construction of Flood Control Structure along Alae River (Right Bank) Package 2, Barangay Casinglot, Tagoloan, Misamis Oriental",MISAMIS ORIENTAL,EQUALYZ TRADING,"53,075,000.00",12/16/2023
"Construction of Revetment, Upstream of Musuan Bridge along Taganibong Creek, Maramag, Bukidnon, Package 2",BUKIDNON,PHILIPPIANS CDO CONSTRUCTION CORPORATION,"29,262,806.08",12/16/2023
"Construction of Flood Control Structure, Silaga River, along Daang Maharlika, Silaga Bridge, Barangay Tulay, Sta. Rita, Samar",SAMAR (WESTERN SAMAR),"B. VICENCIO BUILDERS (BVB), INC. (FORMERLY:B. VICENCIO CONSTRUCTION)","110,974,893.60",12/16/2023
"Construction of Flood Control Structure at Bucao River North Approach Downstream, Botolan, Zambales",ZAMBALES,NICLEDON CONSTRUCTION / GRACE CONSTRUCTION CORPORATION,"96,499,292.34",12/16/2023
"Construction of Flood Control/River Control Structure Along Bongo River, Brgy. Catagtaguen, Banna, Ilocos Norte",ILOCOS NORTE,JLP CONSTRUCTION & SUPPLY (FORMERLY: JLP CONSTRUCT,"48,249,410.43",12/16/2023
"Construction of Flood Control Wall along Bank of Creek in Barangay 163, (Phase 3), Caloocan City",CALOOCAN CITY,WAWAO BUILDERS,"28,516,336.77",12/16/2023
"Construction of Drainage System, Brgy. Tumana, Marikina City",MARIKINA CITY,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","46,727,916.11",12/16/2023
"Construction of Flood Mitigation Structure at Bagacay Creek, Brgy. Bagacay, Alabel, Sarangani Province",SARANGANI,J.G. ORANZA CONSTRUCTION,"77,188,853.74",12/15/2023
"Construction of Flood Control Structure, Pulangi River, Brgy. Nabundas Section, Pikit, North Cotabato",COTABATO (NORTH COTABATO),"AGONG BUILDERS AND CONSTRUCTION SUPPLY, INC. / ABU CONSTRUCTION","109,671,284.99",12/15/2023
"Construction of Catarman Flood Control structure, Catarman River Basin, Barangay Macagtas-Ipil-Ipil Section, Catarman, Northern Samar",NORTHERN SAMAR,EZJONES CONSTRUCTION INC.,"110,865,287.57",12/15/2023
"Construction of Catarman Flood Control Structure, (Catarman River Basin), Barangay Bangkerohan, Catarman, Northern Samar",NORTHERN SAMAR,EZJONES CONSTRUCTION INC.,"110,859,141.80",12/15/2023
"Construction of Pangasugan Flood Control structure, Barangay Pangasugan, Baybay City, Leyte",LEYTE,C N E CONSTRUCTION,"52,588,254.57",12/15/2023
"Construction of Marabong Flood Control Structure and Drainage system, Marabong River Basin, Burauen, Leyte",LEYTE,"FAIRCHILD BUILDERS & DEVELOPERS, INC.","55,486,287.10",12/15/2023
"Construction of Bayawan River Control, Upstream A, Bayawan City, Negros Oriental",NEGROS ORIENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION) / MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,"49,000,000.00",12/15/2023
"Construction of Bayawan River Control, Upstream, Bayawan City, Negros Oriental, Phase II",NEGROS ORIENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION) / MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,"49,000,000.00",12/15/2023
"Construction of Revetment Wall along Manlapay River (Phase 2), Dumanjug, Cebu",CEBU,QM BUILDERS,"96,300,450.10",12/15/2023
"Construction of River Control Structure at Barangay Pawa, Dumanjug, Cebu",CEBU,QM BUILDERS,"94,860,000.00",12/15/2023
"Construction of Revetment Wall at Barangay Balaygtiki, Dumanjug, Cebu",CEBU,QM BUILDERS,"95,821,739.57",12/15/2023
"Construction of Loboc River Control, Barangay Jimili-an Package 2, Loboc, Bohol",BOHOL,MUANA CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY,"49,000,000.00",12/15/2023
"Construction of Anoling Tubod Gabayan Flood Control, Candijay, Bohol",BOHOL,CLAIRE CONSTRUCTION AND SUPPLY CORPORATION / MUANA CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY,"77,070,000.00",12/15/2023
"Construction of Flood Control Structure along Malogo River, Abut. ''A'', EB. Magalona, Negros Occidental",NEGROS OCCIDENTAL,SILVERGRACES CONSTRUCTION AND CONSTRUCTION SUPPLY,"86,847,998.00",12/15/2023
"Construction of Bank Protection Structure along Bicol River (Main Tributary), San Jose-Palsong Section, Bula, Camarines Sur",CAMARINES SUR,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,"96,478,328.00",12/15/2023
"Rehabilitation of Revetment on Laganac River (Downstream and Upstream of Laganac Spillway) - Phase 2, Balatan, Camarines Sur",CAMARINES SUR,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,"96,478,328.00",12/15/2023
"Rehabilitation of Bicol River Flood Control (Mabolo Section), Barangay Mabolo, Naga City, Camarines Sur",CAMARINES SUR,STEVEN CONSTRUCTION & SUPPLY,"57,204,819.77",12/15/2023
"Construction of Flood Control along Bicol River, Brgy. San Vicente, Milaor, Camarines Sur",CAMARINES SUR,G.C.I. CONSTRUCTION AND DEV'T. CORP.,"72,375,000.00",12/15/2023
"Construction of Flood Control Structure (along Cut-off Channel), Brgy. San Juan-San Lorenzo, Minalabac, Camarines Sur",CAMARINES SUR,BICOL GOLDROCK CONSTRUCTION CORPORATION,"96,500,000.00",12/15/2023
"Construction of Flood Control along Libmanan River, Brgy. Palangon, Libmanan, Camarines Sur",CAMARINES SUR,NFH CONSTRUCTION & SUPPLY,"72,334,499.77",12/15/2023
"Construction of Tobgon Flood Mitigation Structure, Ligao City, Albay",ALBAY,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,"48,926,316.82",12/15/2023
"Construction of Itaran River Control Structure, barangay Itaran, Polangui, Albay",ALBAY,RICHMAR CONSTRUCTION,"72,289,030.00",12/15/2023
"Construction of Itaran River Control Structure, barangay Gamot, Polangui, Albay",ALBAY,RICHMAR CONSTRUCTION,"72,289,030.00",12/15/2023
"Construction of River Bank Protection Works and Drainage System along Brgy. Tamaoyan, Legazpi City, Albay",ALBAY,JEJAN CONSTRUCTION AND SUPPLY(FOR. JEJAN CONSTRUCT / TWINCARE BUILDERS INC.,"48,927,385.73",12/15/2023
"Construction of Quinale ''B'' River Flood Mitigation Structure, Malinao, Albay",ALBAY,MAKAPA CORPORATION,"144,748,972.13",12/15/2023
"Construction of Panitian River Flood Control Structure, Sta. 0 + 131 - Sta. 0 + 280 B/S Downstream, Barangay Panitian, Quezon, Palawan",PALAWAN,RDF TRADING AND CONSTRUCTION,"24,499,242.58",12/15/2023
